instruction,output
What is the capital of France?,Paris
What is 2 + 2?,4
Who wrote Hamlet?,William Shakespeare
What's the boiling point of water?,100 degrees Celsius
Translate 'Hello' to Spanish.,Hola
What is the tallest mountain in the world?,Mount Everest
Who is the current President of the United States?,Joe Biden
What is the square root of 16?,4
Translate 'Thank you' to German.,Danke
What gas do plants absorb from the atmosphere?,Carbon dioxide
What year did World War II end?,1945
Who painted the Sistine Chapel ceiling?,Michelangelo
What is the main ingredient in guacamole?,Avocado
Translate 'Love' to Italian.,Amore
How many days are there in a leap year?,366
What is the freezing point of water?,0 degrees Celsius
Who discovered penicillin?,Alexander Fleming
What is the largest mammal?,Blue whale
How many planets are in the Solar System?,8
Translate 'Good night' to French.,Bonne nuit
What is the currency of Japan?,Yen
What element has the symbol 'O'?,Oxygen
Who was the first man to walk on the moon?,Neil Armstrong
What's the capital of Australia?,Canberra
What is the speed of light?,"299,792,458 meters per second"
Translate 'Friend' to German.,Freund
What is the smallest prime number?,2
Who is the author of '1984'?,George Orwell
What is H2O commonly known as?,Water
What is the largest ocean on Earth?,Pacific Ocean
How many legs does a spider have?,8
Translate 'Peace' to Spanish.,Paz
What is the formula for the area of a circle?,πr²
What does DNA stand for?,Deoxyribonucleic Acid
What is the national language of Brazil?,Portuguese
Who wrote 'Pride and Prejudice'?,Jane Austen
What is the name of Earth's natural satellite?,Moon
Translate 'Dog' to French.,Chien
What is the currency of the United Kingdom?,Pound Sterling
What is the hardest natural substance?,Diamond
What planet is known as the Red Planet?,Mars
Who developed the theory of relativity?,Albert Einstein
How many sides does a hexagon have?,6
Translate 'Water' to Japanese.,Mizu
What is the largest continent?,Asia
What is the name of the longest river in the world?,Nile
What is the capital of Canada?,Ottawa
Who painted 'Starry Night'?,Vincent van Gogh
Translate 'School' to Italian.,Scuola
What is the chemical formula for salt?,NaCl
What is the largest internal organ in the human body?,Liver
What is the name of the galaxy we live in?,Milky Way
What do bees produce?,Honey
What is the symbol for iron on the periodic table?,Fe
What is the fastest land animal?,Cheetah
Translate 'Fire' to Russian.,Огонь (Ogon')
What is the most spoken language in the world?,English
What is the tallest building in the world?,Burj Khalifa
How many bones are in the adult human body?,206
Translate 'Family' to Spanish.,Familia
What is the hottest planet in our solar system?,Venus
Who invented the lightbulb?,Thomas Edison
What is the boiling point of water in Fahrenheit?,212 degrees Fahrenheit
What instrument measures temperature?,Thermometer
Translate 'Cat' to German.,Katze
What does HTTP stand for?,HyperText Transfer Protocol
What is the main ingredient in bread?,Flour
What is the main gas in Earth's atmosphere?,Nitrogen
How many colors are in a rainbow?,7
Translate 'Happy' to French.,Heureux
What is the name of the pirate in Peter Pan?,Captain Hook
What do plants need for photosynthesis?,"Sunlight, water, carbon dioxide"
What is the national sport of Japan?,Sumo wrestling
Who was the first President of the USA?,George Washington
Translate 'Thank you' to Japanese.,Arigatou
What is the square root of 49?,7
What is the currency of India?,Rupee
How many hearts does an octopus have?,3
What is the deepest ocean trench called?,Mariana Trench
Translate 'Moon' to Spanish.,Luna
What is 10 squared?,100
What is the capital of Italy?,Rome
Who wrote 'The Odyssey'?,Homer
What type of animal is a Komodo dragon?,Lizard
Translate 'Wind' to French.,Vent
What is the symbol for potassium?,K
How many hours are in a day?,24
What is the study of weather called?,Meteorology
Who discovered gravity?,Isaac Newton
Translate 'Book' to Spanish.,Libro
What is the closest star to Earth?,The Sun
What is the currency of Russia?,Ruble
How many teeth does an adult human have?,32
Translate 'Star' to German.,Stern
What is the name of the planet with rings?,Saturn
What is the chemical symbol for carbon?,C
How many strings does a standard guitar have?,6
Translate 'Cheese' to Italian.,Formaggio
What is the process of water turning to vapor called?,Evaporation
What is the primary language spoken in Egypt?,Arabic
What is the capital of South Korea?,Seoul
Who was the Greek god of the sea?,Poseidon
Translate 'Sun' to Portuguese.,Sol
